Code,Name,Market,Marcap
035080,그래디언트,KOSDAQ,145792534680
318060,그래피,KOSDAQ,375224973750
453450,그리드위즈,KOSDAQ,121524075000
204020,그리티,KOSDAQ,40263222240
0015G0,그린광학,KOSDAQ,306021447150
402490,그린리소스,KOSDAQ,143234381200
114450,그린생명과학,KOSDAQ,60200000000
083420,그린케미칼,KOSPI,141840000000
186230,그린플러스,KOSDAQ,58313803920
014530,극동유화,KOSPI,117684292500
900070,글로벌에스엠,KOSDAQ,22142514816
204620,글로벌텍스프리,KOSDAQ,290270152900
019660,글로본,KOSDAQ,37719420765
014280,금강공업,KOSPI,169816977030
053260,금강철강,KOSDAQ,73101600000
008870,금비,KOSPI,50000000000
001570,금양,KOSPI,633275240400
282720,금양그린파워,KOSDAQ,120952610000
002990,금호건설,KOSPI,156126327200
011780,금호석유화학,KOSPI,3706920060800
214330,금호에이치티,KOSPI,112948092180
001210,금호전기,KOSPI,61553997000
073240,금호타이어,KOSPI,1680472678950
036190,금화피에스시,KOSDAQ,183300000000
049080,기가레인,KOSDAQ,46685840850
420770,기가비스,KOSDAQ,548226533500
035460,기산텔레콤,KOSDAQ,27740678020
092440,기신정기,KOSPI,69934000000
000270,기아,KOSPI,59537982195000
024110,기업은행,KOSPI,16506715488300
013700,까뮤이앤씨,KOSPI,72537507620
004540,깨끗한나라,KOSPI,68634597199
407400,꿈비,KOSDAQ,69879899850
187790,나노,KOSDAQ,101003718250
121600,나노신소재,KOSDAQ,609338430900
286750,나노실리칸첨단소재,KOSDAQ,53039787192
247660,나노씨엠에스,KOSDAQ,20829096400
039860,나노엔텍,KOSDAQ,199607597720
091970,나노캠텍,KOSDAQ,22528993994
417010,나노팀,KOSDAQ,137578004960
405920,나라셀라,KOSDAQ,34126901400
478340,나라스페이스테크놀로지,KOSDAQ,365038155150
051490,나라엠앤디,KOSDAQ,57439000000
137080,나래나노텍,KOSDAQ,41694020940
190510,나무가,KOSDAQ,377819027300
242040,나무기술,KOSDAQ,52843765128
293580,나우IB,KOSDAQ,141445625500
459510,나우로보틱스,KOSDAQ,405503456600
138610,나이벡,KOSDAQ,397773950000
130580,나이스디앤비,KOSDAQ,88396000000
036800,나이스정보통신,KOSDAQ,226500000000
267320,나인테크,KOSDAQ,166504355500
001260,남광토건,KOSPI,79053878880
008350,남선알미늄,KOSPI,156056619810
004270,남성,KOSPI,29947456320
003920,남양유업,KOSPI,303000000000
025860,남해화학,KOSPI,328873940660
111710,남화산업,KOSDAQ,84822560000
091590,남화토건,KOSDAQ,44553300000
168330,내츄럴엔도텍,KOSDAQ,91454112000
094860,네오리진,KOSDAQ,24602709087
253590,네오셈,KOSDAQ,491334636800
212560,네오오토,KOSDAQ,124028530500
095660,네오위즈,KOSDAQ,559534489600
042420,네오위즈홀딩스,KOSDAQ,205810561800
950220,네오이뮨텍,KOSDAQ,118526383255
311390,네오크레마,KOSDAQ,64154710230
085910,네오티스,KOSDAQ,144922107200
092730,네오팜,KOSDAQ,278085609150
290660,네오펙트,KOSDAQ,49239980025
306620,네온테크,KOSDAQ,113435935200
153460,네이블,KOSDAQ,47016100800
007390,네이처셀,KOSDAQ,1304809884000
033640,네패스,KOSDAQ,359954143220
330860,네패스아크,KOSDAQ,196650486300
351320,넥사다이내믹스,KOSDAQ,32686134768
005720,넥센,KOSPI,304665229130
002350,넥센타이어,KOSPI,764739476910
002355,넥센타이어1우B,KOSPI,24245000000
089140,넥스턴앤롤코리아,KOSDAQ,35948123940
389650,넥스트바이오메디컬,KOSDAQ,672718652000
137940,넥스트아이,KOSDAQ,25952173568
396270,넥스트칩,KOSDAQ,116683285050
348210,넥스틴,KOSDAQ,762725964000
092790,넥스틸,KOSPI,275621200000
225570,넥슨게임즈,KOSDAQ,825227980220
205500,넥써쓰,KOSDAQ,133483571355
217270,넵튠,KOSDAQ,248166264330
251270,넷마블,KOSPI,4366437901600
104620,노랑풍선,KOSDAQ,84725182080
090350,노루페인트,KOSPI,163400000000
000320,노루홀딩스,KOSPI,276455940800
473980,노머스,KOSDAQ,273932917800
194700,노바렉스,KOSDAQ,262567872000
285490,노바텍,KOSDAQ,227380366500
145170,노브랜드,KOSDAQ,66534573675
106520,노블엠앤비,KOSDAQ,15904036272
376930,노을,KOSDAQ,101300362925
486990,노타,KOSDAQ,1041678865500
006280,녹십자,KOSPI,1992554729000
142280,녹십자엠에스,KOSDAQ,82293189910
234690,녹십자웰빙,KOSDAQ,169534235800
005250,녹십자홀딩스,KOSPI,718591048800
004370,농심,KOSPI,2524296430000
072710,농심홀딩스,KOSPI,406270404000
054050,농우바이오,KOSDAQ,127122348730
069140,누리플랜,KOSDAQ,38526858700
040160,누리플렉스,KOSDAQ,41892984125
332290,누보,KOSDAQ,45251594136
348340,뉴로메카,KOSDAQ,640745908600
380550,뉴로핏,KOSDAQ,289751414700
060260,뉴보텍,KOSDAQ,15052378026
463020,뉴엔AI,KOSDAQ,137982768000
123840,뉴온,KOSDAQ,52119195763
012340,뉴인텍,KOSDAQ,25801236834
462310,뉴키즈온,KOSDAQ,39984316085
270870,뉴트리,KOSDAQ,44437081920
144960,뉴파워프라즈마,KOSDAQ,263466522720
085670,뉴프렉스,KOSDAQ,133012139840
064260,다날,KOSDAQ,524749638210
340360,다보링크,KOSDAQ,71520098418
039560,다산네트웍스,KOSDAQ,126566669295
208860,다산디엠씨,KOSDAQ,44338664738
154040,다산솔루에타,KOSDAQ,21360611860
058730,다스코,KOSPI,61653966480
030210,다올투자증권,KOSPI,210143315700
023590,다우기술,KOSPI,1776718033200
032190,다우데이타,KOSDAQ,688251000000
323350,다원넥스뷰,KOSDAQ,44379676880
068240,다원시스,KOSDAQ,84341195770
145210,다이나믹디자인,KOSPI,32184341016
483650,달바글로벌,KOSPI,1756539104500
464580,닷밀,KOSDAQ,45463039830
019680,대교,KOSPI,148060581800
019685,대교우B,KOSPI,23137545090
006370,대구백화점,KOSPI,54757351660
008060,대덕,KOSPI,338562598500
353200,대덕전자,KOSPI,2500496405000
000490,대동,KOSPI,262135453160
020400,대동금속,KOSDAQ,18018787900
008830,대동기어,KOSDAQ,157191724800
048470,대동스틸,KOSDAQ,28750000000
008110,대동전자,KOSPI,157776322880
004780,대륙제관,KOSDAQ,56376840455
005750,대림바스,KOSPI,77192471200
017650,대림제지,KOSDAQ,68523000000
006570,대림통상,KOSPI,33495000000
389260,대명에너지,KOSDAQ,316043973000
317850,대모,KOSDAQ,62349905800
290670,대보마그네틱,KOSDAQ,96570641400
078140,대봉엘에스,KOSDAQ,122728429530
065150,대산F&B,KOSDAQ,23110448725
001680,대상,KOSPI,769186155000
084690,대상홀딩스,KOSPI,350175242460
036480,대성미생물,KOSDAQ,26866000000
128820,대성산업,KOSPI,289054704420
117580,대성에너지,KOSPI,215875000000
027830,대성창투,KOSDAQ,81594000000
104040,대성파인텍,KOSDAQ,100416801674
129920,대성하이텍,KOSDAQ,56643168890
016710,대성홀딩스,KOSPI,134346982650
020180,대신정보통신,KOSDAQ,37660336700
003540,대신증권,KOSPI,1375959140000
003547,대신증권2우B,KOSPI,202000000000
045390,대아티아이,KOSDAQ,298102384710
009190,대양금속,KOSPI,55286560000
108380,대양전기공업,KOSDAQ,260709824250
014160,대영포장,KOSPI,110020467235
047040,대우건설,KOSPI,1650021872860
003090,대웅,KOSPI,1279123560000
069620,대웅제약,KOSPI,1909467560000
007680,대원,KOSDAQ,55870099470
000430,대원강업,KOSPI,272490000000
048910,대원미디어,KOSDAQ,96228936900
005710,대원산업,KOSDAQ,260488800000
006340,대원전선,KOSPI,279781055730
003220,대원제약,KOSPI,254777342880
024890,대원화성,KOSPI,37412980864
002880,대유에이텍,KOSPI,52901388345
120240,대정화금,KOSDAQ,91965100890
003310,대주산업,KOSDAQ,116971716750
078600,대주전자재료,KOSDAQ,945864232300
393970,대진첨단소재,KOSDAQ,62157895800
012800,대창,KOSPI,123404235646
015230,대창단조,KOSPI,182005105100
096350,대창솔루션,KOSDAQ,81264750210
140520,대창스틸,KOSDAQ,43485040580
131220,대한과학,KOSDAQ,35147920350
010170,대한광통신,KOSDAQ,401236406400
054670,대한뉴팜,KOSDAQ,92302135600
001070,대한방직,KOSPI,34291000000
023910,대한약품,KOSDAQ,168000000000
006650,대한유화,KOSPI,1034800000000
001440,대한전선,KOSPI,4828985070000
084010,대한제강,KOSPI,252516654940
001790,대한제당,KOSPI,249804975300
001130,대한제분,KOSPI,240825000000
439260,대한조선,KOSPI,2692989208800
003490,대한항공,KOSPI,8469075203000
005880,대한해운,KOSPI,589013895500
003830,대한화섬,KOSPI,149665600000
016090,대현,KOSPI,73065811500
069460,대호에이엘,KOSPI,123555099888
021040,대호특수강,KOSDAQ,27456539110
067080,대화제약,KOSDAQ,304009894500
298540,더네이쳐홀딩스,KOSDAQ,113862993960
032860,더라미,KOSDAQ,59462710336
475560,더본코리아,KOSPI,356855856000
192080,더블유게임즈,KOSPI,1115637521400
393890,더블유씨피,KOSDAQ,220657298880
299170,더블유에스아이,KOSDAQ,155445441000
012510,더존비즈온,KOSPI,2813445798400
462860,더즌,KOSDAQ,274083757465
224060,더코디,KOSDAQ,15869220150
043090,더테크놀로지,KOSDAQ,4718944500
403850,더핑크퐁컴퍼니,KOSDAQ,354469947000
213420,덕산네오룩스,KOSDAQ,879023736600
317330,덕산테코피아,KOSDAQ,318820412880
077360,덕산하이메탈,KOSDAQ,267623941780
004830,덕성,KOSPI,73225600000
090410,덕신이피씨,KOSDAQ,57328614180
263600,덕우전자,KOSDAQ,76067230250
194480,데브시스터즈,KOSDAQ,390558630000
373160,데이원컴퍼니,KOSDAQ,63504007400
263800,데이타솔루션,KOSDAQ,77380752600
206560,덱스터,KOSDAQ,102790472120
261200,덴티스,KOSDAQ,64819770000
145720,덴티움,KOSPI,518021244000
484120,도우인시스,KOSDAQ,261336528000
067990,도이치모터스,KOSDAQ,122854325500
002150,도화엔지니어링,KOSPI,206366400000
006620,동구바이오제약,KOSDAQ,147733308480
100130,동국S&C,KOSDAQ,111028849000
005160,동국산업,KOSDAQ,138865873920
303810,동국생명과학,KOSDAQ,108426234600
460850,동국씨엠,KOSPI,152782132160
075970,동국알앤에스,KOSDAQ,41032000000
460860,동국제강,KOSPI,410754380760
086450,동국제약,KOSDAQ,749920363600
001230,동국홀딩스,KOSPI,226737443790
023450,동남합성,KOSPI,118300000000
004140,동방,KOSPI,118250403190
240550,동방메디컬,KOSDAQ,154828334400
099410,동방선기,KOSDAQ,73080000000
007590,동방아그로,KOSPI,80343704300
005960,동부건설,KOSPI,123911980200
026960,동서,KOSPI,2597185000000
002210,동성제약,KOSPI,25900780311
102260,동성케미컬,KOSPI,206979262875
033500,동성화인텍,KOSDAQ,827710034400
025950,동신건설,KOSDAQ,151620000000
000640,동아쏘시오홀딩스,KOSPI,674559988800
170900,동아에스티,KOSPI,485402586900
088130,동아엘텍,KOSDAQ,63821396100
028100,동아지질,KOSPI,227755429020
041930,동아화성,KOSDAQ,105860000000
001520,동양,KOSPI,200494612920
001527,동양2우B,KOSPI,2743178410
084670,동양고속,KOSPI,187053757400
082640,동양생명,KOSPI,1048830802500
060380,동양에스텍,KOSDAQ,28368000000
079960,동양이엔피,KOSDAQ,209469000000
228340,동양파일,KOSDAQ,37780000000
088910,동우팜투테이블,KOSDAQ,52051004460
094170,동운아나텍,KOSDAQ,558295291200
013120,동원개발,KOSDAQ,257895004000
018500,동원금속,KOSPI,76210540790
006040,동원산업,KOSPI,1838763616900
030720,동원수산,KOSPI,26526688500
014820,동원시스템즈,KOSPI,716084665400
111380,동인기연,KOSPI,81502400000
163560,동일고무벨트,KOSPI,96327000000
109860,동일금속,KOSDAQ,70707000000
032960,동일기연,KOSDAQ,64703127450
004890,동일산업,KOSPI,93006995250
023790,동일스틸럭스,KOSDAQ,36255648779
002690,동일제강,KOSPI,33333191120
005290,동진쎄미켐,KOSDAQ,2084857731700
025900,동화기업,KOSDAQ,404963852850
000020,동화약품,KOSPI,168706078800
000150,두산,KOSPI,13505658390000
000157,두산2우B,KOSPI,393383239000
454910,두산로보틱스,KOSPI,5918064174000
241560,두산밥캣,KOSPI,5943076030000
034020,두산에너빌리티,KOSPI,57330222567000
131970,두산테스나,KOSDAQ,987621861800
336260,두산퓨얼셀,KOSPI,2318477900400
33626L,두산퓨얼셀2우B,KOSPI,31654780000
016740,두올,KOSPI,112402174080
073190,듀오백,KOSDAQ,17892219800
176750,듀켐바이오,KOSDAQ,261788024000
030350,드래곤플라이,KOSDAQ,15171092867
203650,드림시큐리티,KOSDAQ,150812994988
223250,드림씨아이에스,KOSDAQ,144699889920
060570,드림어스컴퍼니,KOSDAQ,114486930285
362990,드림인사이트,KOSDAQ,30745050420
192650,드림텍,KOSPI,480163585770
016670,디모아,KOSDAQ,31174330570
187870,디바이스,KOSDAQ,101890098320
024090,디씨엠,KOSPI,133950000000
003160,디아이,KOSPI,851830000000
092200,디아이씨,KOSPI,476384970250
110990,디아이티,KOSDAQ,340956000000
263690,디알젬,KOSDAQ,61271550100
214680,디알텍,KOSDAQ,146726835950
347850,디앤디파마텍,KOSDAQ,4022673732000
263720,디앤씨미디어,KOSDAQ,152178365660
376300,디어유,KOSDAQ,811853485200
109740,디에스케이,KOSDAQ,195656067900
031860,디에이치엑스컴퍼니,KOSDAQ,12967043909
196490,디에이테크놀로지,KOSDAQ,36245520080
